prop,seed,test_lang,en_role,nl_role,en_frac,nl_frac,neither_frac,n
0.01,2,nl,det,noun,0.09836618388440203,0.7737442883879344,0.1278895277276636,59309
0.01,2,nl,noun,prep,0.0038330197226287546,0.9960275977420029,0.00013938253536831835,14349
0.01,2,nl,prep,det,0.0038330197226287546,0.9961669802773713,0.0,14349
0.01,2,nl,noun,part,0.0031817579212514917,0.9836404613548986,0.013177780723849926,37715
0.01,2,nl,verb,det,0.0,0.032160110420979986,0.96783988957902,7245
0.01,2,nl,noun,verb,0.012836438923395446,0.15969634230503796,0.8274672187715666,7245
0.01,2,nl,noun,rel,0.023504867872044505,0.9656467315716273,0.010848400556328233,7190
0.01,2,nl,rel,det,0.016828929068150207,0.9656467315716273,0.017524339360222532,7190
0.01,2,nl,verb,noun,0.0,0.9656467315716273,0.03435326842837274,7190
0.01,2,nl,det,verb,0.007093184979137691,0.9929068150208623,0.0,7190
0.01,2,en,noun,prep,1.0,0.0,0.0,14336
0.01,2,en,prep,det,1.0,0.0,0.0,14336
0.01,3,nl,part,det,0.009614883527020689,0.7947522017822711,0.19563291469070823,38378
0.01,3,nl,det,noun,0.18635635100841458,0.7693001202083611,0.044343528783224256,59896
0.01,3,nl,noun,part,0.004273281567564751,0.9899421543592684,0.0057845640731669186,38378
0.01,3,nl,noun,prep,0.010216847372810676,0.9887406171809842,0.001042535446205171,14388
0.01,3,nl,prep,det,0.010216847372810676,0.9892966360856269,0.0004865165415624131,14388
0.01,3,nl,noun,rel,0.2888233642235327,0.7023308059533839,0.008845829823083403,7122
0.01,3,nl,rel,det,0.06402695871946082,0.7023308059533839,0.2336422353271553,7122
0.01,3,nl,verb,noun,0.0,0.7023308059533839,0.2976691940466161,7122
0.01,3,nl,det,verb,0.00014040999719180006,0.9998595900028082,0.0,7122
0.01,3,en,part,det,0.5681417571203266,0.001577140736617497,0.4302811021430559,32337
0.01,3,en,det,noun,0.9332948976650332,0.0009801095416546554,0.06572499279331219,52035
0.01,3,en,noun,prep,0.9656194903029331,0.0,0.03438050969706684,12478
0.01,3,en,prep,det,0.9686648501362398,0.0,0.031335149863760216,12478
0.01,3,en,noun,part,0.9059281937099917,0.09329869808578409,0.0007731082042242633,32337
0.01,3,en,noun,rel,1.0,0.0,0.0,7201
0.01,3,en,rel,det,1.0,0.0,0.0,7201
0.01,3,en,verb,noun,0.988612692681572,0.0,0.011387307318427997,7201
0.01,3,en,det,verb,1.0,0.0,0.0,7201
0.01,3,en,verb,det,0.9873961218836566,0.0,0.012603878116343491,7220
0.01,3,en,noun,verb,1.0,0.0,0.0,7220
0.01,3,nl,verb,det,0.00028050490883590464,0.12847124824684433,0.8712482468443198,7130
0.01,3,nl,noun,verb,0.05848527349228611,0.7485273492286115,0.1929873772791024,7130
0.1,1,nl,part,det,0.001279992552770602,0.9386767204263539,0.06004328702087552,42969
0.1,1,nl,det,noun,0.0294413727949945,0.9317784075949759,0.03878021961002958,64569
0.1,1,nl,noun,prep,0.0,1.0,0.0,14367
0.1,1,nl,prep,det,0.0,1.0,0.0,14367
0.1,1,nl,noun,part,0.00174544439014173,0.9400730759384672,0.058181479671391,42969
0.1,1,en,part,det,0.9998371373397548,0.0,0.00016286266024522462,42981
0.1,1,en,det,noun,1.0,0.0,0.0,64583
0.1,1,en,noun,part,1.0,0.0,0.0,42981
0.1,1,en,verb,det,0.9713851257948576,0.015897152336190212,0.01271772186895217,7234
0.1,1,en,noun,verb,1.0,0.0,0.0,7234
0.1,1,en,noun,prep,1.0,0.0,0.0,14368
0.1,1,en,prep,det,1.0,0.0,0.0,14368
0.1,1,nl,verb,det,0.0,0.7474077146412277,0.2525922853587723,7233
0.1,1,nl,noun,verb,0.1171021706069404,0.8828978293930596,0.0,7233
0.1,1,en,noun,rel,1.0,0.0,0.0,7137
0.1,1,en,rel,det,1.0,0.0,0.0,7137
0.1,1,en,verb,noun,0.9878100042034468,0.0,0.012189995796553174,7137
0.1,1,en,det,verb,1.0,0.0,0.0,7137
0.1,1,nl,noun,rel,0.0,1.0,0.0,7165
0.1,1,nl,rel,det,0.0,1.0,0.0,7165
0.1,1,nl,verb,noun,0.0,1.0,0.0,7165
0.1,1,nl,det,verb,0.0,1.0,0.0,7165
0.1,2,en,verb,det,0.9879300776914539,0.0,0.01206992230854606,7208
0.1,2,en,det,noun,1.0,0.0,0.0,64536
0.1,2,en,noun,verb,1.0,0.0,0.0,7208
0.1,2,en,part,det,0.9997673985857835,0.0,0.00023260141421659844,42992
0.1,2,en,noun,part,1.0,0.0,0.0,42992
0.1,2,en,noun,rel,1.0,0.0,0.0,7231
0.1,2,en,rel,det,1.0,0.0,0.0,7231
0.1,2,en,verb,noun,0.988659936385009,0.0,0.01134006361499101,7231
0.1,2,en,det,verb,1.0,0.0,0.0,7231
0.1,2,nl,part,det,0.02112438577897678,0.7275267366798343,0.25134887754118895,41516
0.1,2,nl,det,noun,0.3088456974245486,0.6278905673690625,0.06326373520638892,62358
0.1,2,nl,noun,prep,0.4422638735758912,0.5575156192576258,0.0002205071664829107,13605
0.1,2,nl,prep,det,0.4422638735758912,0.5575156192576258,0.0002205071664829107,13605
0.1,2,nl,noun,part,0.14346276134502361,0.781096444744195,0.07544079391078139,41516
0.1,2,nl,verb,det,0.0,0.12201188337708996,0.8779881166229101,7237
0.1,2,nl,noun,verb,0.5965178941550366,0.306895122288241,0.0965869835567224,7237
0.1,2,nl,noun,rel,0.0951917732073374,0.9043913285158421,0.0004168982768204558,7196
0.1,2,nl,rel,det,0.06281267370761534,0.9043913285158421,0.032795997776542525,7196
0.1,2,nl,verb,noun,0.0,0.9043913285158421,0.09560867148415786,7196
0.1,2,nl,det,verb,0.0004168982768204558,0.9995831017231795,0.0,7196
0.1,2,en,noun,prep,1.0,0.0,0.0,14336
0.1,2,en,prep,det,1.0,0.0,0.0,14336
0.1,3,nl,part,det,0.0006814098990274422,0.5861054326952859,0.41321315740568665,32286
0.1,3,nl,det,noun,0.35840948862531596,0.6052109663620455,0.036379545012638535,51430
0.1,3,nl,noun,part,0.09245493402713251,0.8564393235458093,0.05110574242705817,32286
0.1,3,nl,noun,prep,0.28242800772395266,0.7125346318529091,0.0050373604231382756,11911
0.1,3,nl,prep,det,0.2505247250440769,0.7494752749559231,0.0,11911
0.1,3,nl,noun,rel,0.8468204053109714,0.15192173305380852,0.0012578616352201257,7155
0.1,3,nl,rel,det,0.10006988120195667,0.15192173305380852,0.7480083857442348,7155
0.1,3,nl,verb,noun,0.0,0.15192173305380852,0.8480782669461915,7155
0.1,3,nl,det,verb,0.0,0.9991614255765199,0.0008385744234800838,7155
0.1,3,en,part,det,0.9352668475802804,0.0,0.06473315241971958,35376
0.1,3,en,det,noun,0.9934691283934056,0.0,0.006530871606594415,56654
0.1,3,en,noun,prep,0.9998577322520984,0.0,0.0001422677479015507,14058
0.1,3,en,prep,det,0.9998577322520984,0.0,0.0001422677479015507,14058
0.1,3,en,noun,part,0.9988410221619177,5.653550429669833e-05,0.0011024423337856173,35376
0.1,3,en,noun,rel,0.9547222222222222,0.0,0.04527777777777778,7200
0.1,3,en,rel,det,0.9547222222222222,0.04527777777777778,0.0,7200
0.1,3,en,verb,noun,0.9438888888888889,0.04527777777777778,0.010833333333333334,7200
0.1,3,en,det,verb,0.9998611111111111,0.0,0.0001388888888888889,7200
0.1,3,en,verb,det,0.9871191135734072,0.0,0.012880886426592797,7220
0.1,3,en,noun,verb,0.9998614958448754,0.0,0.00013850415512465375,7220
0.1,3,nl,verb,det,0.0,0.4500207382828702,0.5499792617171299,7233
0.1,3,nl,noun,verb,0.004977187888842804,0.9950228121111572,0.0,7233
0.25,1,nl,part,det,4.652028284331969e-05,0.9985346110904354,0.0014188686267212504,42992
0.25,1,nl,det,noun,0.004705518148750097,0.9944276758764802,0.0008668059747697546,64605
0.25,1,nl,noun,prep,0.0,1.0,0.0,14367
0.25,1,nl,prep,det,0.0,1.0,0.0,14367
0.25,1,nl,noun,part,0.0006745441012281355,0.998022887979159,0.0013025679196129512,42992
0.25,1,en,part,det,0.9916444942351678,0.0,0.00835550576483219,42846
0.25,1,en,det,noun,0.9998138351510263,0.0,0.00018616484897376626,64459
0.25,1,en,noun,part,0.9997199271810671,0.0,0.0002800728189329226,42846
0.25,1,en,verb,det,0.9876969864528615,0.0,0.012303013547138513,7234
0.25,1,en,noun,verb,1.0,0.0,0.0,7234
0.25,1,en,noun,prep,1.0,0.0,0.0,14379
0.25,1,en,prep,det,1.0,0.0,0.0,14379
0.25,1,nl,verb,det,0.0,0.9620480264973779,0.03795197350262214,7246
0.25,1,nl,noun,verb,0.03739994479712945,0.9626000552028705,0.0,7246
0.25,1,en,noun,rel,1.0,0.0,0.0,7137
0.25,1,en,rel,det,1.0,0.0,0.0,7137
0.25,1,en,verb,noun,0.9878100042034468,0.0,0.012189995796553174,7137
0.25,1,en,det,verb,1.0,0.0,0.0,7137
0.25,1,nl,noun,rel,0.0,1.0,0.0,7165
0.25,1,nl,rel,det,0.0,1.0,0.0,7165
0.25,1,nl,verb,noun,0.0,1.0,0.0,7165
0.25,1,nl,det,verb,0.0,1.0,0.0,7165
0.25,2,en,verb,det,0.9879300776914539,0.0,0.01206992230854606,7208
0.25,2,en,det,noun,1.0,0.0,0.0,64536
0.25,2,en,noun,verb,1.0,0.0,0.0,7208
0.25,2,en,part,det,1.0,0.0,0.0,42992
0.25,2,en,noun,part,1.0,0.0,0.0,42992
0.25,2,en,noun,rel,1.0,0.0,0.0,7231
0.25,2,en,rel,det,1.0,0.0,0.0,7231
0.25,2,en,verb,noun,0.988659936385009,0.0,0.01134006361499101,7231
0.25,2,en,det,verb,1.0,0.0,0.0,7231
0.25,2,nl,part,det,0.002770835597087906,0.746359882646963,0.25086928175594914,36812
0.25,2,nl,det,noun,0.25641201481278286,0.7247291180907969,0.018858867096420245,58328
0.25,2,nl,noun,prep,0.08646906313502908,0.9123397099011983,0.0011912269637726859,14271
0.25,2,nl,prep,det,0.08562819704295424,0.9135309368649709,0.0008408660920748371,14271
0.25,2,nl,noun,part,0.067640986634793,0.9222536129522981,0.010105400412908834,36812
0.25,2,nl,verb,det,0.0,0.24085576259489302,0.759144237405107,7245
0.25,2,nl,noun,verb,0.6973084886128365,0.30269151138716355,0.0,7245
0.25,2,nl,noun,rel,0.00014005602240896358,0.9761904761904762,0.023669467787114845,7140
0.25,2,nl,rel,det,0.00014005602240896358,0.9761904761904762,0.023669467787114845,7140
0.25,2,nl,verb,noun,0.0,0.9761904761904762,0.023809523809523808,7140
0.25,2,nl,det,verb,0.0,1.0,0.0,7140
0.25,2,en,noun,prep,1.0,0.0,0.0,14336
0.25,2,en,prep,det,1.0,0.0,0.0,14336
0.25,3,nl,part,det,0.004472360156532605,0.6929198592521951,0.3026077805912723,30409
0.25,3,nl,det,noun,0.24252309894134236,0.6615663081682908,0.09591059289036685,47513
0.25,3,nl,noun,part,0.018711565654904797,0.8410667894373376,0.14022164490775757,30409
0.25,3,nl,noun,prep,0.0157025630635194,0.9842974369364806,0.0,9871
0.25,3,nl,prep,det,0.01175159558302097,0.988248404416979,0.0,9871
0.25,3,nl,noun,rel,0.24825467746439542,0.7108349623010333,0.04091036023457135,7162
0.25,3,nl,rel,det,0.0,0.7108349623010333,0.2891650376989668,7162
0.25,3,nl,verb,noun,0.0,0.7111142139067299,0.28888578609327004,7162
0.25,3,nl,det,verb,0.00809829656520525,0.9907846970120078,0.001117006422786931,7162
0.25,3,en,part,det,0.9667551858903698,0.0011273674716905501,0.032117446637939674,39916
0.25,3,en,det,noun,0.9976189311283983,0.0014677821811243212,0.0009132866904773553,61317
0.25,3,en,noun,prep,0.9924546928989493,0.0031732599957689867,0.004372047105281715,14181
0.25,3,en,prep,det,0.9924546928989493,0.0031732599957689867,0.004372047105281715,14181
0.25,3,en,noun,part,0.9981962120452951,0.0010772622507265258,0.0007265257039783546,39916
0.25,3,en,noun,rel,1.0,0.0,0.0,7201
0.25,3,en,rel,det,1.0,0.0,0.0,7201
0.25,3,en,verb,noun,0.988612692681572,0.0,0.011387307318427997,7201
0.25,3,en,det,verb,1.0,0.0,0.0,7201
0.25,3,en,verb,det,0.9873961218836566,0.0,0.012603878116343491,7220
0.25,3,en,noun,verb,1.0,0.0,0.0,7220
0.25,3,nl,verb,det,0.0,0.08226185538504079,0.9177381446149592,7233
0.25,3,nl,noun,verb,0.12484446287847366,0.8693488179178764,0.005806719203649938,7233
0.5,1,nl,part,det,0.004454394925254786,0.9879428158305931,0.0076027892441521494,42879
0.5,1,nl,det,noun,0.013137665967854647,0.9854491808370215,0.001413153195123845,64395
0.5,1,nl,noun,prep,0.02949211908931699,0.9702276707530648,0.00028021015761821365,14275
0.5,1,nl,prep,det,0.02949211908931699,0.970507880910683,0.0,14275
0.5,1,nl,noun,part,0.009888290305277641,0.98803610158819,0.002075608106532335,42879
0.5,1,en,part,det,0.9695742275810098,0.0,0.030425772418990204,42464
0.5,1,en,det,noun,0.9998900028284987,0.0,0.00010999717150130426,63638
0.5,1,en,noun,part,0.999835154483798,0.0,0.0001648455162019593,42464
0.5,1,en,verb,det,0.9876969864528615,0.0,0.012303013547138513,7234
0.5,1,en,noun,verb,1.0,0.0,0.0,7234
0.5,1,en,noun,prep,1.0,0.0,0.0,13940
0.5,1,en,prep,det,1.0,0.0,0.0,13940
0.5,1,nl,verb,det,0.0,0.9998618975279657,0.00013810247203424942,7241
0.5,1,nl,noun,verb,0.00013810247203424942,0.9998618975279657,0.0,7241
0.5,1,en,noun,rel,1.0,0.0,0.0,7137
0.5,1,en,rel,det,1.0,0.0,0.0,7137
0.5,1,en,verb,noun,0.9878100042034468,0.0,0.012189995796553174,7137
0.5,1,en,det,verb,1.0,0.0,0.0,7137
0.5,1,nl,noun,rel,0.0,1.0,0.0,7165
0.5,1,nl,rel,det,0.0,1.0,0.0,7165
0.5,1,nl,verb,noun,0.0,1.0,0.0,7165
0.5,1,nl,det,verb,0.0,1.0,0.0,7165
0.5,2,en,verb,det,0.9879300776914539,0.0,0.01206992230854606,7208
0.5,2,en,det,noun,1.0,0.0,0.0,64536
0.5,2,en,noun,verb,1.0,0.0,0.0,7208
0.5,2,en,part,det,1.0,0.0,0.0,42992
0.5,2,en,noun,part,1.0,0.0,0.0,42992
0.5,2,en,noun,rel,1.0,0.0,0.0,7231
0.5,2,en,rel,det,1.0,0.0,0.0,7231
0.5,2,en,verb,noun,0.988659936385009,0.0,0.01134006361499101,7231
0.5,2,en,det,verb,1.0,0.0,0.0,7231
0.5,2,nl,part,det,0.14230967847144838,0.5282798358383388,0.3294104856902128,36793
0.5,2,nl,det,noun,0.3113465481886534,0.5304359383306751,0.15821751348067137,52668
0.5,2,nl,noun,prep,0.1575668328047123,0.8424331671952877,0.0,8828
0.5,2,nl,prep,det,0.1575668328047123,0.8424331671952877,0.0,8828
0.5,2,nl,noun,part,0.07555785067811813,0.8077895251814203,0.1166526241404615,36793
0.5,2,nl,verb,det,0.0,0.037746558819355756,0.9622534411806443,7047
0.5,2,nl,noun,verb,0.3107705406555981,0.6682276145877678,0.02100184475663403,7047
0.5,2,nl,noun,rel,0.8027377521613833,0.17694524495677233,0.02031700288184438,6940
0.5,2,nl,rel,det,0.19639769452449568,0.17982708933717578,0.6237752161383285,6940
0.5,2,nl,verb,noun,0.0,0.17982708933717578,0.8201729106628242,6940
0.5,2,nl,det,verb,0.0,1.0,0.0,6940
0.5,2,en,noun,prep,1.0,0.0,0.0,14336
0.5,2,en,prep,det,1.0,0.0,0.0,14336
0.5,3,nl,part,det,0.10083887260166613,0.5161533772604568,0.38300775013787697,34451
0.5,3,nl,det,noun,0.3943045884663453,0.4840385645420461,0.12165684699160864,56010
0.5,3,nl,noun,part,0.17151896897042176,0.7213433572320107,0.10713767379756756,34451
0.5,3,nl,noun,prep,0.424872635913183,0.5717077255914579,0.003419638495359062,14329
0.5,3,nl,prep,det,0.41238048712401426,0.5842696629213483,0.0033498499546374487,14329
0.5,3,nl,noun,rel,0.06652500817260543,0.7520431513566525,0.18143184047074207,6118
0.5,3,nl,rel,det,0.00032690421706440013,0.7522066034651848,0.2474664923177509,6118
0.5,3,nl,verb,noun,0.0,0.7522066034651848,0.2477933965348153,6118
0.5,3,nl,det,verb,0.0,1.0,0.0,6118
0.5,3,en,part,det,1.0,0.0,0.0,42992
0.5,3,en,det,noun,1.0,0.0,0.0,64516
0.5,3,en,noun,prep,1.0,0.0,0.0,14304
0.5,3,en,prep,det,1.0,0.0,0.0,14304
0.5,3,en,noun,part,1.0,0.0,0.0,42992
0.5,3,en,noun,rel,1.0,0.0,0.0,7201
0.5,3,en,rel,det,1.0,0.0,0.0,7201
0.5,3,en,verb,noun,0.988612692681572,0.0,0.011387307318427997,7201
0.5,3,en,det,verb,1.0,0.0,0.0,7201
0.5,3,en,verb,det,0.9873961218836566,0.0,0.012603878116343491,7220
0.5,3,en,noun,verb,1.0,0.0,0.0,7220
0.5,3,nl,verb,det,0.0,0.04163208852005532,0.9583679114799447,7230
0.5,3,nl,noun,verb,0.7300138312586445,0.2698478561549101,0.00013831258644536652,7230
0.75,1,nl,part,det,0.1972952898086725,0.39684450477678457,0.40586020541454293,39043
0.75,1,nl,det,noun,0.42969420555714505,0.41002036385667884,0.16028543058617614,59419
0.75,1,nl,noun,prep,0.4222949821061448,0.5672732810477423,0.010431736846112845,13133
0.75,1,nl,prep,det,0.4222949821061448,0.5672732810477423,0.010431736846112845,13133
0.75,1,nl,noun,part,0.2458315190943319,0.5936275388674026,0.1605409420382655,39043
0.75,1,en,part,det,1.0,0.0,0.0,42992
0.75,1,en,det,noun,1.0,0.0,0.0,64605
0.75,1,en,noun,part,1.0,0.0,0.0,42992
0.75,1,en,verb,det,0.9876969864528615,0.0,0.012303013547138513,7234
0.75,1,en,noun,verb,1.0,0.0,0.0,7234
0.75,1,en,noun,prep,1.0,0.0,0.0,14379
0.75,1,en,prep,det,1.0,0.0,0.0,14379
0.75,1,nl,verb,det,0.0,0.16622946292972526,0.8337705370702747,7243
0.75,1,nl,noun,verb,0.552947673615905,0.44608587601822447,0.0009664503658704957,7243
0.75,1,en,noun,rel,1.0,0.0,0.0,7137
0.75,1,en,rel,det,1.0,0.0,0.0,7137
0.75,1,en,verb,noun,0.9878100042034468,0.0,0.012189995796553174,7137
0.75,1,en,det,verb,1.0,0.0,0.0,7137
0.75,1,nl,noun,rel,0.5927221833449965,0.36039188243526943,0.04688593421973408,7145
0.75,1,nl,rel,det,0.0005598320503848845,0.36039188243526943,0.6390482855143457,7145
0.75,1,nl,verb,noun,0.0,0.36039188243526943,0.6396081175647306,7145
0.75,1,nl,det,verb,0.0,0.9998600419874037,0.00013995801259622114,7145
0.75,2,en,verb,det,0.9879300776914539,0.0,0.01206992230854606,7208
0.75,2,en,det,noun,0.9986291041195421,0.00027417917609157583,0.0010967167043663033,58356
0.75,2,en,noun,verb,1.0,0.0,0.0,7208
0.75,2,en,part,det,0.9867795243853285,0.00037619239553943304,0.01284428321913207,37215
0.75,2,en,noun,part,0.9987908101571947,0.0011823189574096467,2.687088539567379e-05,37215
0.75,2,en,noun,rel,1.0,0.0,0.0,7231
0.75,2,en,rel,det,1.0,0.0,0.0,7231
0.75,2,en,verb,noun,0.988659936385009,0.0,0.01134006361499101,7231
0.75,2,en,det,verb,1.0,0.0,0.0,7231
0.75,2,nl,part,det,0.1335011839462878,0.6473338728531607,0.21916494320055152,33363
0.75,2,nl,det,noun,0.28212800391426257,0.6515177176838104,0.06635427840192702,53139
0.75,2,nl,noun,prep,0.3939007882793216,0.5849988056373915,0.021100406083286886,12559
0.75,2,nl,prep,det,0.3939007882793216,0.6058603391989809,0.0002388725216975874,12559
0.75,2,nl,noun,part,0.15136528489644216,0.819380751131493,0.029253963972064864,33363
0.75,2,nl,verb,det,0.0,0.692392961064154,0.3076070389358459,7217
0.75,2,nl,noun,verb,0.17569627268948315,0.7026465290286823,0.12165719828183456,7217
0.75,2,nl,noun,rel,0.526686807653575,0.3436915551719177,0.12962163717450725,6951
0.75,2,nl,rel,det,0.47619047619047616,0.34541792547834843,0.17839159833117538,6951
0.75,2,nl,verb,noun,0.0,0.34541792547834843,0.6545820745216515,6951
0.75,2,nl,det,verb,0.0023018270752409725,0.9843188030499209,0.013379369874838154,6951
0.75,2,en,noun,prep,0.9974879781812962,0.0,0.0025120218187037967,13933
0.75,2,en,prep,det,0.9998564558960741,0.00014354410392593124,0.0,13933
0.75,3,nl,part,det,0.21809982576611664,0.47746916743534557,0.3044310067985378,29271
0.75,3,nl,det,noun,0.37022908268606824,0.48713007570543704,0.14264084160849475,50855
0.75,3,nl,noun,prep,0.4992,0.5008,0.0,14375
0.75,3,nl,prep,det,0.4992,0.5008,0.0,14375
0.75,3,nl,noun,part,0.2637764340131871,0.7321922722148201,0.004031293771992757,29271
0.75,3,nl,noun,rel,0.14509085786730525,0.0018312438371601634,0.8530778982955346,7099
0.75,3,nl,rel,det,0.09649246372728554,0.0018312438371601634,0.9016762924355542,7099
0.75,3,nl,verb,noun,0.0,0.0018312438371601634,0.9981687561628398,7099
0.75,3,nl,det,verb,0.06986899563318777,0.9261867868713903,0.00394421749542189,7099
0.75,3,en,part,det,0.9999302179525947,0.0,6.978204740527087e-05,42991
0.75,3,en,det,noun,0.9999689989769662,1.550051151688006e-05,1.550051151688006e-05,64514
0.75,3,en,noun,prep,0.9999300845976369,6.99154023631406e-05,0.0,14303
0.75,3,en,prep,det,0.9999300845976369,6.99154023631406e-05,0.0,14303
0.75,3,en,noun,part,0.9999767393175316,0.0,2.3260682468423623e-05,42991
0.75,3,en,noun,rel,1.0,0.0,0.0,7201
0.75,3,en,rel,det,1.0,0.0,0.0,7201
0.75,3,en,verb,noun,0.988612692681572,0.0,0.011387307318427997,7201
0.75,3,en,det,verb,1.0,0.0,0.0,7201
0.75,3,en,verb,det,0.9873961218836566,0.0,0.012603878116343491,7220
0.75,3,en,noun,verb,1.0,0.0,0.0,7220
0.75,3,nl,verb,det,0.002913025384935497,0.41018171729782216,0.5869052573172423,7209
0.75,3,nl,noun,verb,0.4492994867526703,0.4250242752115411,0.1256762380357886,7209
0.99,1,nl,part,det,2.380328961462474e-05,0.9832662874009188,0.01670990930946657,42011
0.99,1,nl,det,noun,0.06605997736703131,0.9291147994467497,0.004825223186219037,63624
0.99,1,nl,noun,prep,0.0,1.0,0.0,14367
0.99,1,nl,prep,det,0.0,1.0,0.0,14367
0.99,1,nl,noun,part,0.01280616981266811,0.9837423531932113,0.0034514769941205873,42011
0.99,1,en,part,det,1.0,0.0,0.0,42992
0.99,1,en,det,noun,1.0,0.0,0.0,64605
0.99,1,en,noun,part,1.0,0.0,0.0,42992
0.99,1,en,verb,det,0.9876969864528615,0.0,0.012303013547138513,7234
0.99,1,en,noun,verb,1.0,0.0,0.0,7234
0.99,1,en,noun,prep,1.0,0.0,0.0,14379
0.99,1,en,prep,det,1.0,0.0,0.0,14379
0.99,1,nl,verb,det,0.0,0.43306651945901187,0.5669334805409881,7246
0.99,1,nl,noun,verb,0.47653878001656086,0.5222191553960805,0.0012420645873585426,7246
0.99,1,en,noun,rel,1.0,0.0,0.0,7137
0.99,1,en,rel,det,1.0,0.0,0.0,7137
0.99,1,en,verb,noun,0.9878100042034468,0.0,0.012189995796553174,7137
0.99,1,en,det,verb,1.0,0.0,0.0,7137
0.99,1,nl,noun,rel,0.0,1.0,0.0,7165
0.99,1,nl,rel,det,0.0,1.0,0.0,7165
0.99,1,nl,verb,noun,0.0,1.0,0.0,7165
0.99,1,nl,det,verb,0.0,1.0,0.0,7165
0.99,2,en,verb,det,0.9879300776914539,0.0,0.01206992230854606,7208
0.99,2,en,det,noun,1.0,0.0,0.0,64536
0.99,2,en,noun,verb,1.0,0.0,0.0,7208
0.99,2,en,part,det,1.0,0.0,0.0,42992
0.99,2,en,noun,part,1.0,0.0,0.0,42992
0.99,2,en,noun,rel,1.0,0.0,0.0,7231
0.99,2,en,rel,det,1.0,0.0,0.0,7231
0.99,2,en,verb,noun,0.988659936385009,0.0,0.01134006361499101,7231
0.99,2,en,det,verb,1.0,0.0,0.0,7231
0.99,2,nl,part,det,0.15096310640032612,0.6599826742763962,0.18905421932327762,39248
0.99,2,nl,det,noun,0.26350140562579116,0.6894142403866704,0.04708435398753843,60827
0.99,2,nl,noun,prep,0.3065718865426162,0.6934281134573838,0.0,14349
0.99,2,nl,prep,det,0.3065718865426162,0.6934281134573838,0.0,14349
0.99,2,nl,noun,part,0.2722431716265797,0.7124949041989401,0.015261924174480229,39248
0.99,2,nl,verb,det,0.0,0.8374827109266944,0.16251728907330568,7230
0.99,2,nl,noun,verb,0.1322268326417704,0.8647302904564316,0.0030428769017980637,7230
0.99,2,nl,noun,rel,0.02847222222222222,0.69875,0.2727777777777778,7200
0.99,2,nl,rel,det,0.027916666666666666,0.6988888888888889,0.27319444444444446,7200
0.99,2,nl,verb,noun,0.0,0.6988888888888889,0.3011111111111111,7200
0.99,2,nl,det,verb,0.06263888888888888,0.9368055555555556,0.0005555555555555556,7200
0.99,2,en,noun,prep,1.0,0.0,0.0,14336
0.99,2,en,prep,det,1.0,0.0,0.0,14336
0.99,3,nl,part,det,0.017233077371448847,0.6723181023340683,0.3104488202944829,39459
0.99,3,nl,det,noun,0.30158756272106607,0.5952948918318665,0.10311754544706753,60785
