prop,seed,test_lang,pos,en_frac,n
0.99,3,en,det,1.0,128885
0.99,3,en,noun,0.989758311673197,128885
0.99,3,en,prep,0.916532088189861,28484
0.99,3,en,aux,1.0,42990
0.99,3,en,part,1.0,43163
0.99,3,en,rel,1.0,14421
0.99,3,en,verb,1.0,14248
0.99,3,nl,rel,0.0,16945
0.9,1,nl,det,0.0,122711
0.9,1,nl,noun,0.010582824708074746,116982
0.9,1,nl,prep,0.0868393970579333,33038
0.9,1,nl,aux,0.0,41204
0.9,1,nl,part,0.0,41370
0.9,1,en,det,1.0,128978
0.9,1,en,noun,0.9897928328862287,128978
0.9,1,en,prep,0.9172343919225797,28623
0.9,1,en,aux,1.0,42992
0.9,1,en,part,1.0,43168
0.9,1,en,rel,1.0,14371
0.9,1,en,verb,1.0,14195
0.9,1,nl,rel,0.0,13812
0.9,1,nl,verb,0.0,14579
0.9,2,en,det,1.0,128966
0.9,2,en,noun,0.9897647441961447,128966
0.9,2,en,rel,1.0,14439
0.9,2,en,verb,1.0,14270
0.9,2,en,aux,1.0,42992
0.9,2,en,part,1.0,43161
0.9,2,en,prep,0.9169148302561049,28543
0.9,2,nl,det,0.0,121663
0.9,2,nl,noun,0.009976771638551464,105044
0.9,2,nl,prep,0.08748425912970477,28588
0.9,2,nl,aux,0.0,65147
0.9,2,nl,part,0.0,35094
0.9,2,nl,verb,0.0,18570
0.9,2,nl,rel,0.0,14226
0.9,3,nl,aux,0.0,59689
0.9,3,nl,det,0.0,118906
0.9,3,nl,prep,0.09320571159579476,38238
0.9,3,nl,noun,0.010289877911989098,107873
0.9,3,nl,part,0.0,39627
0.9,3,nl,rel,0.0,10084
0.9,3,nl,verb,0.00019572025052192068,15328
0.9,3,en,det,1.0,128889
0.9,3,en,noun,0.9897586295184229,128889
0.9,3,en,prep,0.916532088189861,28484
0.9,3,en,aux,1.0,42992
0.9,3,en,part,1.0,43165
0.9,3,en,rel,1.0,14421
0.9,3,en,verb,1.0,14248
0.0,1,nl,det,0.0,126944
0.0,1,nl,noun,0.010064483806322322,123752
0.0,1,nl,prep,0.07702888583218707,31988
0.0,1,nl,aux,0.0,53969
0.0,1,nl,part,0.0,39121
0.0,1,nl,rel,0.0,11048
0.0,1,en,prep,0.47774172615184946,7705
0.0,1,en,det,0.0,40522
0.0,1,en,noun,0.01404974993419321,45588
0.0,1,en,aux,0.0,86351
0.0,1,en,part,0.0,70286
0.0,1,en,rel,0.0,17309
0.0,1,en,verb,0.0,50497
0.0,1,nl,verb,0.0,14371
0.0,2,en,aux,0.0,39861
0.0,2,en,det,0.0,9320
0.0,2,en,noun,0.008458909864993558,17851
0.0,2,en,part,0.0,20966
0.0,2,nl,det,0.0,122415
0.0,2,nl,noun,0.010376378815506513,122297
0.0,2,nl,prep,0.08427804826042148,28139
0.0,2,nl,aux,0.0,41040
0.0,2,nl,part,0.0,40681
0.0,2,nl,rel,0.0,12681
0.0,2,nl,verb,0.0,12700
0.0,2,en,prep,0.4979967948717949,3744
0.0,2,en,verb,0.0,57
0.0,3,nl,det,0.0,92880
0.0,3,nl,noun,0.010927870003753618,82587
0.0,3,nl,prep,0.0998784046692607,20560
0.0,3,nl,aux,0.0,52073
0.0,3,nl,part,0.0,22920
0.0,3,nl,rel,0.0,8284
0.0,3,nl,verb,0.0,11955
0.0,3,en,det,0.0,62929
0.0,3,en,noun,0.06806213480174093,41587
0.0,3,en,prep,0.4047955508957469,21937
