prop,source_lang,structure,ablation,mean_delta_lex,std_delta_lex
0.5000,en,subj_pp+obj_pp,verb,-0.0742,0.0024
0.5000,en,subj_rc,object,-0.0950,0.0071
0.5000,en,subj_rc,subject,-0.1867,0.0181
0.5000,en,subj_rc,verb,-0.0851,0.0103
0.5000,nl,obj_pp,object,0.1638,0.0404
0.5000,nl,obj_pp,subject,0.2265,0.0105
0.5000,nl,obj_pp,verb,0.0319,0.0265
0.5000,nl,obj_rc,object,0.1790,0.0730
0.5000,nl,obj_rc,subject,0.2441,0.0475
0.5000,nl,obj_rc,verb,0.0420,0.0138
0.5000,nl,plain,object,0.2246,0.0882
0.5000,nl,plain,subject,0.5232,0.1016
0.5000,nl,plain,verb,0.0617,0.0483
0.5000,nl,subj_pp,object,0.1048,0.0022
0.5000,nl,subj_pp,subject,0.2282,0.0113
0.5000,nl,subj_pp,verb,0.0219,0.0025
0.5000,nl,subj_pp+obj_pp,object,0.1160,0.0434
0.5000,nl,subj_pp+obj_pp,subject,0.1783,0.0183
0.5000,nl,subj_pp+obj_pp,verb,0.0362,0.0172
0.5000,nl,subj_rc,object,0.1411,0.0511
0.5000,nl,subj_rc,subject,0.2379,0.0598
0.5000,nl,subj_rc,verb,0.0448,0.0271
0.7500,en,obj_pp,object,-0.1237,0.0249
0.7500,en,obj_pp,subject,-0.1986,0.0304
0.7500,en,obj_pp,verb,-0.0739,0.0305
0.7500,en,obj_rc,object,-0.1143,0.0274
0.7500,en,obj_rc,subject,-0.1387,0.0506
0.7500,en,obj_rc,verb,-0.0733,0.0219
0.7500,en,plain,object,-0.1634,0.0006
0.7500,en,plain,subject,-0.3864,0.0951
0.7500,en,plain,verb,-0.1269,0.0294
0.7500,en,subj_pp,object,-0.1087,0.0000
0.7500,en,subj_pp,subject,-0.2112,0.0012
0.7500,en,subj_pp,verb,-0.0903,0.0134
0.7500,en,subj_pp+obj_pp,object,-0.0836,0.0021
0.7500,en,subj_pp+obj_pp,subject,-0.1095,0.0389
0.7500,en,subj_pp+obj_pp,verb,-0.0575,0.0087
0.7500,en,subj_rc,object,-0.0570,0.0254
0.7500,en,subj_rc,subject,-0.1329,0.0539
0.7500,en,subj_rc,verb,-0.0652,0.0196
0.7500,nl,obj_pp,object,0.1490,0.0408
